restaurant_id,month,order_volume,cancellations,avg_rating,gross_revenue_inr,support_tickets
R001,10,187,3,4.2,45459,2.7
R001,11,206,3,4.5,54649,2.7
R001,12,239,4,4.2,51638,1.5
R001,13,220,3,4.0,50017,1.8
R001,14,219,3,4.0,54041,2.6
R001,15,192,3,4.1,52466,2.9
R001,16,220,2,4.2,53834,1.1
R001,17,224,3,4.1,49520,3.0
R001,18,171,3,4.4,44325,3.0
R002,9,186,5,4.7,29934,3.2
R002,10,167,6,4.3,28361,2.2
R002,11,193,7,4.3,31031,3.9
R002,12,160,5,4.6,24802,3.6
R002,13,178,6,4.3,33676,2.8
R002,14,141,5,4.2,25432,4.5
R002,15,183,7,4.8,33856,3.6
R002,16,201,9,4.7,32239,2.1
R002,17,163,6,4.4,26930,3.8
R002,18,147,5,4.6,26161,3.9
R003,6,161,19,4.1,45909,7.6
R003,7,147,19,3.6,41684,7.6
R003,8,154,23,4.0,34715,7.0
R003,9,130,22,4.3,36295,21.8
R003,10,156,34,3.9,41631,22.0
R003,11,134,20,3.6,27898,25.1
R003,12,90,21,3.2,25520,12.8
R003,13,41,10,3.5,10754,12.4
R003,14,36,7,3.3,9324,13.1
R003,15,15,3,3.2,4285,13.8
R003,16,11,2,3.1,2878,12.4
R003,17,6,1,2.8,1236,12.4
R003,18,4,0,2.7,1127,10.6
R004,5,85,16,2.8,22461,8.9
R004,6,84,18,3.1,18557,9.1
R004,7,77,19,3.0,18187,9.2
R004,8,88,24,2.6,21973,24.0
R004,9,91,18,2.7,18288,25.4
R004,10,75,26,2.9,18541,26.0
R004,11,49,17,2.6,9849,16.2
R004,12,29,8,1.8,5624,17.3
R004,13,18,4,2.5,3911,16.5
R004,14,7,2,2.2,1394,14.7
R004,15,7,1,2.2,1248,18.5
R004,16,5,1,1.8,1187,14.2
R004,17,2,0,1.8,479,14.4
R004,18,1,0,1.8,205,15.3
R005,5,135,4,3.5,33568,4.8
R005,6,149,4,3.3,37706,3.8
R005,7,137,4,3.6,38605,5.6
R005,8,152,4,3.3,38333,4.2
R005,9,154,4,3.4,38760,4.3
R005,10,155,5,3.5,41909,3.3
R005,11,170,3,3.7,44485,3.9
R005,12,127,5,3.5,34566,5.2
R005,13,133,3,3.5,34272,5.5
R005,14,139,3,3.4,38693,3.6
R005,15,131,3,3.7,33846,5.7
R005,16,134,4,3.4,39138,3.4
R005,17,153,4,3.4,40864,5.8
R005,18,144,3,3.3,41087,4.6
R006,13,131,0,4.2,40477,4.1
R006,14,129,1,4.2,39303,4.7
R006,15,109,0,4.4,27799,3.1
R006,16,107,0,4.2,26411,4.1
R006,17,122,1,4.1,33851,5.7
R006,18,118,1,4.5,35539,3.9
R007,15,113,9,3.8,25996,4.1
R007,16,90,6,3.8,20735,6.4
R007,17,101,6,3.5,21228,5.8
R007,18,125,9,3.4,34901,4.1
R008,6,111,2,4.2,14460,3.5
R008,7,136,3,4.4,23467,4.4
R008,8,124,3,4.3,18876,3.9
R008,9,115,1,4.2,16910,3.1
R008,10,132,3,3.9,20239,3.6
R008,11,132,2,4.2,19373,3.4
R008,12,107,2,3.9,16516,2.0
R008,13,140,3,4.3,15894,3.4
R008,14,141,2,4.0,19129,3.6
R008,15,116,2,4.2,15873,2.5
R008,16,133,3,4.1,14961,4.1
R008,17,124,2,4.6,17918,3.2
R008,18,112,2,4.2,16314,5.3
R009,5,176,27,3.4,37862,7.3
R009,6,171,29,3.2,31184,7.6
R009,7,186,35,3.0,50916,7.6
R009,8,170,35,2.9,45567,20.4
R009,9,203,45,3.1,46571,20.6
R009,10,156,39,3.3,37243,20.4
R009,11,63,15,3.2,17326,12.6
R009,12,79,28,2.9,22125,11.5
R009,13,33,9,2.7,8927,11.8
R009,14,21,6,2.5,5358,13.6
R009,15,12,1,2.6,2317,15.0
R009,16,8,2,2.2,2175,12.1
R009,17,4,0,2.2,919,13.8
R009,18,4,1,1.9,880,13.5
R010,5,252,3,4.0,76046,3.7
R010,6,324,7,3.6,98816,3.0
R010,7,291,6,3.7,85399,3.9
R010,8,284,6,3.7,87885,3.8
R010,9,282,6,4.0,88835,3.5
R010,10,291,7,3.5,93887,3.1
R010,11,308,7,3.9,90039,4.1
R010,12,316,7,3.7,105050,4.6
R010,13,266,4,3.7,88613,3.3
R010,14,281,6,3.5,81749,4.6
R010,15,215,5,3.6,71161,4.6
R010,16,277,6,3.7,74794,5.5
R010,17,257,8,3.6,84395,3.0
R010,18,296,6,3.7,97985,3.6
R011,6,84,8,3.7,22434,3.3
R011,7,94,10,4.0,22211,3.7
R011,8,86,7,3.9,23162,3.4
R011,9,108,10,3.8,22419,1.2
R011,10,115,7,3.8,32548,2.6
R011,11,107,10,4.2,27976,3.0
R011,12,90,9,3.8,21820,3.2
R011,13,106,12,4.2,29389,0.9
R011,14,115,12,3.8,31334,1.5
R011,15,104,7,3.8,28286,3.4
R011,16,101,8,3.5,25113,2.9
R011,17,94,8,3.9,23104,2.5
R011,18,95,11,3.5,22809,1.6
R012,4,284,34,4.2,52269,3.3
R012,5,278,34,3.8,45502,3.8
R012,6,248,28,3.7,42151,5.7
R012,7,284,34,3.9,48906,5.0
R012,8,274,34,4.0,37395,5.1
R012,9,326,47,3.7,40313,4.6
R012,10,256,32,4.2,36834,3.7
R012,11,285,26,3.8,43999,3.7
R012,12,294,52,3.9,41465,5.3
R012,13,233,20,3.8,34866,3.4
R012,14,277,34,4.1,43046,3.5
R012,15,306,31,3.6,52806,5.0
R012,16,255,28,3.7,40552,5.6
R012,17,297,42,4.0,45737,5.0
R012,18,298,45,3.8,37915,4.9
R013,13,274,3,4.1,50198,0.4
R013,14,242,3,4.3,43360,1.6
R013,15,231,4,4.1,30885,0.0
R013,16,287,4,4.2,47269,0.3
R013,17,301,3,4.5,46554,0.2
R013,18,211,3,4.0,30311,1.7
R014,12,69,0,3.5,21854,5.5
R014,13,48,0,3.7,12003,5.9
R014,14,65,0,3.6,15764,6.0
R014,15,49,0,3.5,13257,5.8
R014,16,69,0,3.5,22938,5.3
R014,17,64,0,4.1,16778,4.4
R014,18,72,0,3.6,17727,5.7
R015,5,116,1,4.2,29965,1.3
R015,6,130,0,4.4,36702,1.7
R015,7,128,1,4.2,38334,0.0
R015,8,121,1,4.0,31004,0.6
R015,9,142,1,4.2,36090,1.4
R015,10,132,1,4.4,38637,0.0
R015,11,125,1,4.7,36492,0.6
R015,12,133,1,4.2,34692,1.2
R015,13,124,1,4.0,39629,0.5
R015,14,119,1,4.3,32018,0.0
R015,15,131,1,4.4,34282,1.5
R015,16,129,1,4.3,30317,2.0
R015,17,127,1,4.0,36983,1.4
R015,18,151,1,4.3,35392,0.5
R016,7,71,2,4.1,16534,7.6
R016,8,71,3,4.2,12804,7.2
R016,9,58,2,4.1,13183,7.3
R016,10,80,4,4.3,20103,21.1
R016,11,85,7,4.1,19861,21.1
R016,12,87,5,3.9,21756,19.0
R016,13,40,3,3.8,8682,11.1
R016,14,37,3,3.6,9621,9.2
R016,15,13,1,3.4,3419,13.7
R016,16,12,2,3.2,2541,10.6
R016,17,7,0,3.4,1442,11.9
R016,18,2,0,3.0,578,11.6
R017,6,122,12,3.7,22554,8.6
R017,7,105,10,3.4,14706,9.5
R017,8,110,11,3.7,18139,7.6
R017,9,105,13,3.4,13919,8.0
R017,10,121,8,3.4,22329,10.8
R017,11,94,7,3.7,18937,7.9
R017,12,91,9,3.7,19271,9.1
R017,13,118,11,4.0,20371,7.9
R017,14,128,9,3.3,23289,8.5
R017,15,106,12,3.4,19181,8.2
R017,16,99,9,3.8,21574,9.0
R017,17,81,8,3.6,15927,8.7
R017,18,122,13,3.9,20973,8.6
R018,17,356,16,4.0,79062,1.7
R018,18,346,12,3.8,97276,1.7
R019,3,239,1,4.3,54899,0.5
R019,4,266,3,4.3,72414,3.6
R019,5,252,2,4.3,66420,1.6
R019,6,228,2,4.2,54365,1.9
R019,7,262,2,4.4,69979,2.6
R019,8,216,1,4.4,54462,2.8
R019,9,218,2,4.5,53440,2.3
R019,10,243,2,4.4,69900,1.9
R019,11,200,1,4.0,55886,2.6
R019,12,223,1,4.2,51669,2.0
R019,13,236,2,4.2,49600,0.9
R019,14,234,2,4.2,55285,2.8
R019,15,221,2,4.4,51607,2.3
R019,16,242,2,4.1,67260,3.9
R019,17,235,1,4.3,63919,1.3
R019,18,231,2,4.5,61605,2.6
R020,1,314,3,4.6,64583,2.3
R020,2,344,4,4.8,60585,1.9
R020,3,359,4,4.1,67200,2.3
R020,4,351,6,4.9,66858,9.9
R020,5,362,7,4.4,72932,7.0
R020,6,312,6,4.3,55746,9.4
R020,7,149,11,3.8,29596,3.6
R020,8,142,8,3.9,26056,2.6
R020,9,68,5,3.5,10768,3.4
R020,10,17,1,3.9,2730,4.6
R020,11,27,1,3.2,5869,3.8
R020,12,22,1,3.3,3595,3.0
R020,13,14,1,3.3,3017,1.5
R020,14,7,0,3.2,1249,1.5
R020,15,4,0,3.2,785,1.8
R020,16,2,0,3.1,367,3.2
R020,17,1,0,3.1,198,2.0
R020,18,0,0,2.9,0,3.0
R021,7,119,10,4.0,34513,7.2
R021,8,126,9,4.0,31266,6.1
R021,9,119,6,3.9,33409,6.7
R021,10,113,7,4.0,29044,5.2
R021,11,105,9,3.9,31064,6.6
R021,12,117,8,3.8,30999,5.0
R021,13,120,8,4.1,32389,6.1
R021,14,133,9,3.9,39745,5.6
R021,15,129,12,4.0,35781,5.0
R021,16,116,6,4.2,26696,6.2
R021,17,115,7,3.8,39003,5.8
R021,18,137,12,4.0,35742,5.6
R022,12,74,1,4.0,19951,5.2
R022,13,84,1,4.1,21694,6.0
R022,14,75,2,3.7,19716,4.5
R022,15,82,2,3.8,19926,3.5
R022,16,90,2,3.8,23505,5.9
R022,17,77,1,3.9,18885,5.9
R022,18,93,1,4.3,24176,5.3
R023,10,81,0,4.3,17322,3.7
R023,11,79,0,4.3,14696,3.5
R023,12,67,0,4.2,13205,5.1
R023,13,69,0,4.3,15032,4.8
R023,14,81,1,4.3,15349,4.5
R023,15,75,0,4.3,15416,4.6
R023,16,75,0,4.4,12370,5.4
R023,17,65,0,4.5,13252,4.6
R023,18,66,0,4.5,12737,6.1
R024,4,332,24,4.1,68045,1.9
R024,5,358,26,3.9,69560,2.8
R024,6,339,25,4.1,61532,1.6
R024,7,302,33,3.8,62677,1.1
R024,8,335,28,4.2,57543,1.3
R024,9,316,33,3.7,43047,2.2
R024,10,350,23,4.1,57665,2.0
R024,11,344,21,3.9,70909,2.5
R024,12,296,30,4.0,44283,2.9
R024,13,301,25,4.1,52283,0.6
R024,14,368,36,3.9,73410,1.8
R024,15,323,25,3.8,61500,1.0
R024,16,311,26,4.2,50487,2.6
R024,17,340,18,4.0,67993,2.6
R024,18,317,27,3.9,48421,2.3
R025,3,73,10,4.2,13252,6.2
R025,4,78,5,3.9,16373,7.3
R025,5,66,7,4.2,13305,6.7
R025,6,101,14,3.6,21125,16.2
R025,7,76,10,3.6,14456,19.3
R025,8,96,9,3.8,19470,19.2
R025,9,43,8,3.4,8879,11.8
R025,10,23,3,3.4,4626,11.5
R025,11,16,3,3.4,3278,12.8
R025,12,6,0,3.0,1161,9.9
R025,13,8,1,2.9,1867,10.8
R025,14,3,0,2.9,584,10.2
R025,15,3,0,2.6,603,13.0
R025,16,1,0,2.8,229,11.0
R025,17,0,0,3.0,0,12.0
R025,18,0,0,2.6,0,9.6
R026,9,98,5,3.8,12198,3.8
R026,10,100,3,3.9,16137,2.1
R026,11,92,3,3.9,13984,3.8
R026,12,80,2,4.2,11728,4.4
R026,13,92,4,3.8,12055,4.3
R026,14,100,3,3.8,13961,5.1
R026,15,95,2,3.9,13152,2.5
R026,16,89,3,3.8,12117,4.9
R026,17,86,3,3.9,11589,3.7
R026,18,90,3,3.7,12510,4.3
R027,5,92,1,4.1,26325,4.0
R027,6,92,1,3.9,27842,4.2
R027,7,100,2,4.1,25751,2.6
R027,8,83,1,4.0,25203,3.3
R027,9,87,1,4.0,27286,2.5
R027,10,113,1,4.2,30587,3.2
R027,11,82,1,3.9,18736,3.6
R027,12,88,2,4.3,28274,2.9
R027,13,95,0,4.0,26351,3.6
R027,14,93,1,3.6,26199,3.9
R027,15,106,2,4.1,32333,1.4
R027,16,89,1,4.1,19071,4.7
R027,17,91,1,4.1,28151,1.8
R027,18,95,2,4.1,23612,3.0
R028,9,135,4,4.1,28284,4.4
R028,10,134,4,3.5,29804,5.0
R028,11,139,3,4.0,30794,5.2
R028,12,132,7,3.8,32530,12.7
R028,13,122,6,3.6,26416,17.4
R028,14,160,7,3.6,37984,15.1
R028,15,49,3,3.6,10173,7.4
R028,16,32,3,3.3,6260,6.9
R028,17,19,1,3.1,4181,7.9
R028,18,21,2,3.0,4714,8.9
R029,5,115,28,3.4,31986,9.7
R029,6,143,27,3.7,32625,10.0
R029,7,121,25,3.6,31563,9.8
R029,8,118,28,3.0,21485,28.1
R029,9,125,37,3.4,31949,30.4
R029,10,119,30,2.6,27363,27.6
R029,11,24,7,2.9,6124,18.1
R029,12,44,14,2.6,9824,19.3
R029,13,13,3,2.7,2738,16.3
R029,14,11,2,2.9,2594,15.1
R029,15,12,2,2.1,2721,16.3
R029,16,3,0,2.0,530,16.2
R029,17,4,1,1.9,991,17.4
R029,18,3,0,2.0,638,17.7
R030,4,318,3,4.6,98772,0.0
R030,5,335,3,4.4,100424,2.0
R030,6,333,2,4.5,86033,1.5
R030,7,322,2,4.4,91879,0.0
R030,8,307,2,4.9,85378,0.1
R030,9,350,4,4.4,93174,0.0
R030,10,287,2,4.8,85604,0.8
R030,11,326,2,4.3,98788,1.0
R030,12,384,4,4.7,123016,0.0
R030,13,285,3,4.3,80346,0.9
R030,14,358,5,4.2,98415,0.0
R030,15,300,2,4.4,74015,0.0
R030,16,326,3,4.7,95624,0.0
R030,17,356,4,4.7,117028,0.9
R030,18,406,2,4.6,108897,0.0
R031,6,122,10,3.3,37243,4.1
R031,7,126,11,3.6,40870,3.9
R031,8,131,12,3.7,40076,5.8
R031,9,127,9,3.7,36709,5.8
R031,10,137,10,3.7,36572,5.7
R031,11,114,11,3.7,32901,5.5
