restaurant_id,restaurant_name,cuisine_type,city_zone,restaurant_type,onboarding_month,avg_prep_time_min,monthly_order_volume,cancellation_rate_pct,avg_customer_rating,avg_delivery_time_min,platform_commission_pct,discount_offered_pct,monthly_gross_revenue_inr,support_tickets_per_100_orders,is_active,seating_capacity,owner_age,parking_available,social_media_followers,years_in_business
R001,Lemon Express,Chinese,Zone D - Industrial,Chain,10,21,202,1.6,4.2,42,15.0,18,49055,2.4,1,80,31,1,751,20
R002,Spice Place,Desserts,Zone A - City Centre,Independent,9,22,173,3.6,4.4,33,21.1,24,30753,3.3,1,50,30,1,816,12
R003,Taste Diner,Multi-cuisine,Zone A - City Centre,Independent,6,34,130,14.9,3.9,29,18.1,19,36005,9.0,0,100,61,0,633,1
R004,Golden Express,Multi-cuisine,Zone B - Suburbs,Independent,5,29,87,22.6,2.9,45,21.1,31,20252,10.9,0,80,50,0,1592,3
R005,Pepper Treats,North Indian,Zone D - Industrial,Independent,5,21,143,3.0,3.5,45,19.8,24,37847,4.4,1,20,50,0,1687,4
R006,Bombay Bowl,North Indian,Zone A - City Centre,Independent,13,16,123,1.0,4.4,31,22.2,10,31924,3.8,1,40,32,1,971,15
R007,Shahi Kitchen,North Indian,Zone C - University Belt,Independent,15,21,107,7.5,3.7,35,22.6,9,30099,5.6,1,100,58,1,961,4
R008,Spice Corner,Fast Food,Zone C - University Belt,Independent,6,10,127,2.1,4.2,36,25.4,22,18433,3.7,1,20,33,0,3880,3
R009,Quick Diner,Multi-cuisine,Zone A - City Centre,Independent,5,31,156,19.9,3.3,36,21.4,28,46068,8.7,0,40,64,1,3426,5
R010,Urban Flame,Multi-cuisine,Zone C - University Belt,Chain,5,25,282,2.5,3.8,34,15.0,23,87557,4.0,1,50,37,0,809,3
R011,Spice Treats,North Indian,Zone B - Suburbs,Independent,6,24,98,9.3,3.9,41,20.6,29,23478,2.4,1,30,34,1,5392,2
R012,Quick Treats,Desserts,Zone C - University Belt,Chain,4,22,278,12.0,3.9,37,15.8,27,37628,4.0,1,80,48,0,6718,4
R013,Shahi Diner,Fast Food,Zone C - University Belt,Chain,13,11,265,1.4,4.1,30,15.5,11,33093,1.0,1,60,47,1,870,9
R014,Punjabi Bowl,North Indian,Zone B - Suburbs,Independent,12,24,63,1.0,3.7,41,19.6,7,15250,6.0,1,80,30,1,963,17
R015,Curry House,North Indian,Zone A - City Centre,Independent,5,25,127,1.0,4.2,29,20.5,24,35957,0.4,1,50,49,1,1550,1
R016,Ginger Point,North Indian,Zone D - Industrial,Independent,7,19,70,5.3,4.1,41,22.8,17,19317,8.8,0,20,31,1,6231,6
R017,Basil Palace,South Indian,Zone B - Suburbs,Independent,6,19,109,10.1,3.6,31,18.2,31,17119,8.5,1,60,55,0,4598,5
R018,Tandoor Place,Chinese,Zone A - City Centre,Chain,17,20,329,5.2,4.1,39,18.0,7,83556,2.4,1,30,39,0,238,15
R019,Golden Bites,Chinese,Zone A - City Centre,Chain,3,20,235,1.0,4.3,24,14.1,13,55915,1.9,1,50,63,0,1097,20
R020,Ginger Cafe,South Indian,Zone C - University Belt,Chain,1,14,303,1.6,4.4,27,15.5,17,60331,2.5,0,60,32,0,1773,3
R021,Delhi Corner,Multi-cuisine,Zone C - University Belt,Independent,7,30,127,7.4,4.0,34,16.0,2,42486,5.8,1,50,40,1,1539,18
R022,Nawab Express,North Indian,Zone A - City Centre,Independent,12,24,80,2.4,4.0,37,19.0,16,23431,4.8,1,50,50,0,474,15
R023,Masala Dhaba,South Indian,Zone B - Suburbs,Independent,10,25,71,1.0,4.4,39,22.8,9,13756,4.7,1,30,57,0,4307,12
R024,Saffron Place,South Indian,Zone A - City Centre,Chain,4,22,320,8.1,3.9,38,15.6,31,54623,2.1,1,100,64,1,2486,4
R025,Royal Junction,Chinese,Zone C - University Belt,Independent,3,30,70,10.9,3.9,35,18.2,8,12908,7.7,0,40,52,1,4003,4
R026,Street Express,Fast Food,Zone A - City Centre,Independent,9,8,90,4.1,3.9,26,19.2,2,12039,3.6,1,60,54,1,4306,5
R027,Nawab Corner,North Indian,Zone C - University Belt,Independent,5,26,94,1.9,4.1,32,21.9,18,25384,3.5,1,30,41,0,3035,2
